"Date: 2015-12-20+0000"
"Version: 2.0"
"Status: 
0 Normal
1 Completed
2 Archived"
"List Name","Title","Content","Is Checklist","Due Date","Reminder","Repeat","Priority","Status","Completed Time","Order","Timezone","Is All Day"
"日常工作","[会议] i-jia 项目软件周例会 [2h]","","N","2015-12-17T16:00:00+0000","","","0","2","2015-12-18T07:43:24+0000","-23089744183296","Asia/Shanghai","true"
"日常工作","年会节目彩排 [1.5h]","","N","2015-12-17T16:00:00+0000","","","0","2","2015-12-18T01:57:27+0000","-21990232555520","Asia/Shanghai","true"
"日常工作","整理智能家居规范制定申请表和智能家居教材编写申请表 [2h]","","N","2015-12-16T16:00:00+0000","","","0","2","2015-12-17T02:37:34+0000","-20890720927744","Asia/Shanghai","true"
"日常工作","处理讯飞和萤石平台开发者账号问题 [4h]","","N","2015-12-15T16:00:00+0000","","","0","2","2015-12-16T08:53:01+0000","-19791209299968","Asia/Shanghai","true"
"日常工作","语义控制实现方案评估 [4h]","","N","2015-12-14T16:00:00+0000","","","0","2","2015-12-15T08:21:09+0000","-9895604649984","Asia/Shanghai","true"
"日常工作","帮Jon配置服务器 [2h]","","N","2015-12-14T16:00:00+0000","","","0","2","2015-12-15T03:14:49+0000","-18691697672192","Asia/Shanghai","true"
"日常工作","[会议] i-jia 项目例会 [30m]","","N","2015-12-13T16:00:00+0000","","","0","2","2015-12-14T10:46:58+0000","-18141941858304","Asia/Shanghai","true"
"日常工作","[会议] 与 AbleCloud 讨论云服务器方案 [3h]","","N","2015-12-13T16:00:00+0000","","","0","2","2015-12-14T10:46:19+0000","-17042430230528","Asia/Shanghai","true"
"日常工作","处理邮件 [1h]","","N","2015-12-13T16:00:00+0000","","","0","2","2015-12-14T01:06:48+0000","-15942918602752","Asia/Shanghai","true"
"日常工作","[会议] i-jia 项目会[1.5h]","","N","2015-12-10T16:00:00+0000","","","0","2","2015-12-11T06:38:48+0000","-10995116277760","Asia/Shanghai","true"
"日常工作","整理 i-jia 周报 [1h]","","N","2015-12-10T16:00:00+0000","","","0","2","2015-12-11T06:38:27+0000","-8796093022208","Asia/Shanghai","true"
"日常工作","阅读 OTA 总体设计说明文档 [1h]","","N","2015-12-10T16:00:00+0000","","","0","2","2015-12-11T03:03:29+0000","-14843406974976","Asia/Shanghai","true"
"日常工作","按照新计划模板更新 i-jia 维护计划 [30m]","","N","2015-12-09T16:00:00+0000","","","0","2","2015-12-10T06:18:08+0000","-12094627905536","Asia/Shanghai","true"
"日常工作","计划模板定稿 [1h]","","N","2015-12-09T16:00:00+0000","","","0","2","2015-12-10T06:18:07+0000","-12644383719424","Asia/Shanghai","true"
"日常工作","ZSW01/ZSW02 低功耗版本预研讨论 [1h]","","N","2015-12-09T16:00:00+0000","","","0","2","2015-12-10T06:18:03+0000","-12644383719424","Asia/Shanghai","true"
"日常工作","和文宇讨论 ipcam 帐户问题","","N","2015-10-21T16:00:00+0000","","","0","2","2015-12-07T13:33:54+0000","-17042430230528","Asia/Shanghai","true"
"日常工作","i-jia 培训资料整理","","N","2015-10-22T16:00:00+0000","","","0","2","2015-10-21T09:05:48+0000","-14843406974976","Asia/Shanghai","true"
"日常工作","SDIP 计划","","N","2015-10-13T16:00:00+0000","","","0","2","2015-10-21T09:05:47+0000","-14843406974976","Asia/Shanghai","true"
"日常工作","4+1 架构设计学习","怎么样用4+1视图来表达架构设计","N","2015-12-21T16:00:00+0000","","","0","0","","-13743895347200","Asia/Shanghai","true"
"健身运动","[跑步] 跑步 6 公里加俯卧撑 110 个 [1h]","","N","2015-12-18T16:00:00+0000","","","0","2","2015-12-19T10:33:09+0000","-4398046511104","Asia/Shanghai","true"
